word,G2_signed,War_and_Peace_per10k,Anna_Karenina_per10k
slim,3.6895589182212722,0.3006232922926868,0.05809866314976093
jesus,3.6895589182212722,0.3006232922926868,0.05809866314976093
dancer,3.6895589182212722,0.3006232922926868,0.05809866314976093
luminous,3.6895589182212722,0.3006232922926868,0.05809866314976093
comforts,3.6895589182212722,0.3006232922926868,0.05809866314976093
enveloped,3.6895589182212722,0.3006232922926868,0.05809866314976093
stopped,3.652456592118668,6.446699490276507,5.0545836940292
regarded,3.63989099240203,1.803739753756121,1.1038745998454575
played,3.630259842532139,1.503116461463434,0.8714799472464139
past,3.6042888857190007,5.845452905691133,4.531695725681352
son's,3.5972289174887973,1.2692983452357889,0.697183957797131
town,3.595609517471587,4.041713151935012,2.963031820637807
practical,3.551184050863224,0.6012465845853736,0.2323946525990437
constant,3.551184050863224,0.6012465845853736,0.2323946525990437
wall,3.5444938392830885,1.5699216375284757,0.9295786103961748
earth,3.5211390715969113,1.937350105886204,1.2200719261449795
understood,3.510872561742101,6.613712430439111,5.228879683478483
visible,3.4855970081845946,1.3361035213008303,0.755282620946892
caps,3.4524118264351493,0.5010388204878113,0.17429598944928276
customary,3.4524118264351493,0.5010388204878113,0.17429598944928276
continuing,3.4524118264351493,0.5010388204878113,0.17429598944928276
golden,3.4524118264351493,0.5010388204878113,0.17429598944928276
hit,3.4524118264351493,0.5010388204878113,0.17429598944928276
recently,3.4524118264351493,0.5010388204878113,0.17429598944928276
gratitude,3.4524118264351493,0.5010388204878113,0.17429598944928276
diverse,3.4524118264351493,0.5010388204878113,0.17429598944928276
simultaneously,3.4524118264351493,0.5010388204878113,0.17429598944928276
horse's,3.4524118264351493,0.5010388204878113,0.17429598944928276
welcomed,3.4524118264351493,0.5010388204878113,0.17429598944928276
perspiring,3.4524118264351493,0.5010388204878113,0.17429598944928276
don,3.44865995376073,0.40083105639024913,0.11619732629952186
women's,3.44865995376073,0.40083105639024913,0.11619732629952186
borne,3.44865995376073,0.40083105639024913,0.11619732629952186
honors,3.44865995376073,0.40083105639024913,0.11619732629952186
variety,3.44865995376073,0.40083105639024913,0.11619732629952186
assigned,3.44865995376073,0.40083105639024913,0.11619732629952186
naples,3.44865995376073,0.40083105639024913,0.11619732629952186
